Timestamp,Movement,Sensor
62259.995,EBL,0
62260.397,EBL,1
62262.495,EBL,0
62262.893,EBL,1
62263.59,EBT,1
62265.793,EBT,1
62267.996,EBT,1
62268.202,EBL,1
62268.499,WBL,0
62269.906,EBT,1
62270.306,WBL,0
62274.11,EBT,1
62276.81,EBT,1
62278.504,EBL,1
62278.915,EBT,1
62281.22,EBT,1
62282.517,WBL,0
62283.016,EBT,1
62285.612,EBT,1
62285.744,EBL,1
62287.825,EBT,1
62288.525,EBL,1
62290.921,EBT,1
62292.63,EBT,1
62295.129,EBT,1
62296.024,EBL,0
62299.341,EBL,0
62299.84,EBL,1
62301.34,NBR,0
62306.448,NBR,0
62308.438,NBR,0
62310.144,NBT,0
62310.251,NBT,0
62311.341,NBT,1
62312.046,NBT,0
62312.142,NBT,0
62313.861,NBT,1
62314.356,NBT,0
62316.057,NBT,0
62316.153,NBT,0
62317.547,NBT,0
62318.358,NBT,1
62318.856,NBT,0
62320.453,NBT,0
62321.063,NBT,0
62321.564,NBT,1
62322.458,NBT,0
62323.459,NBT,0
62323.459,EBL,1
62324.558,NBT,0
62324.954,EBL,1
62325.559,NBT,0
62326.564,NBT,0
62327.063,NBT,0
62327.467,EBL,1
62328.666,NBT,0
62329.974,NBT,0
62330.174,EBL,1
62331.874,EBL,0
62332.169,EBL,1
62332.673,NBT,0
62334.075,EBL,1
62334.484,NBR,0
62334.778,NBT,0
62335.079,NBT,0
62337.78,NBT,0
62339.973,WBL,0
62346.68,WBL,0
62352.69,WBR,0
62354.795,WBR,0
62355.893,WBL,0
62356.391,WBR,0
62359.094,WBR,0
62361.095,WBR,0
62364.001,EBL,0
62364.297,EBL,1
62365.504,EBL,1
62366.794,NBR,0
62372.002,EBL,0
62372.406,EBL,1
62372.906,EBT,1
62375.716,EBT,1
62377.607,EBL,1
62378.908,EBT,1
62381.311,EBT,1
62384.732,EBT,1
62385.425,EBL,1
62387.825,EBT,1
62387.825,EBL,1
62389.73,EBT,1
62391.833,EBT,1
62394.447,EBT,1
62396.33,EBT,1
62397.035,WBL,0
62398.036,EBT,1
62399.037,WBL,0
62399.736,EBT,1
62401.827,WBL,0
62402.431,EBT,1
62404.439,WBL,0
62405.441,EBT,1
62407.642,WBL,0
62407.846,EBT,1
62409.75,WBL,0
62410.444,EBT,1
62411.749,WBL,0
62412.04,EBL,1
62412.543,EBT,1
62414.754,EBT,1
62415.149,WBL,0
62415.254,EBL,1
62416.44,EBT,1
62418.149,WBL,0
62418.942,EBT,1
62420.057,EBT,1
62422.549,WBL,0
62422.66,EBT,1
62424.054,EBL,0
62424.262,EBL,1
62424.956,EBT,1
62425.052,WBL,0
62427.362,EBT,1
62428.154,WBL,0
62430.764,EBT,1
62433.674,EBL,0
62433.97,EBL,1
62435.166,EBT,1
62437.06,EBT,1
62440.178,EBT,1
62446.481,EBL,0
62446.984,EBL,1
62449.991,NBT,0
62450.688,NBT,0
62450.894,NBT,1
62451.382,NBT,0
62452.18,NBT,0
62453.493,NBT,1
62453.59,NBT,0
62453.991,NBT,0
62454.299,EBL,0
62456.187,NBT,0
62457.393,NBT,0
62457.991,NBT,0
62459.99,NBT,1
62460.701,NBT,0
62462.204,EBL,1
62462.204,NBT,0
62464.298,NBR,0
62465.006,NBT,0
62465.912,EBL,1
62467.301,NBR,0
62467.6,NBT,1
62468.113,NBT,0
62471.603,NBT,0
62472.11,NBR,0
62472.316,EBL,0
62472.814,EBL,1
62474.115,NBR,0
62476.222,EBL,1
62476.722,NBR,0
62479.227,WBL,0
